uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:3rXBLs6owmrVApnuA4eWdK,Colombian Salsa Top 100,Los Charcos,Fruko el Grande,1975-04-25,40,Fruko Y Sus Tesos,spotify:artist:5aAlzehdUM14I4ppq24Xob,3,-8.964,1,0.0675,0.0252,0.00014,0.249,0.921,114.9,304120,4
spotify:track:0lzW8GL7N9IXMGzJaOmLYH,Colombian Salsa Top 100,La Malanga,Salsa Pa'l Mundo Entero (Remastered Edition),2012-04-27,37,Mercadonegro,spotify:artist:2ceMDOKOCfE4CNrQJeMiMf,0,-4.493,1,0.0731,0.297,0.000182,0.0565,0.965,120.193,257573,4
spotify:track:2MGT7BNwjf3c6DbhXqBaW9,Colombian Salsa Top 100,Manyoma,Fruko el Grande,1975-04-25,35,Fruko Y Sus Tesos,spotify:artist:5aAlzehdUM14I4ppq24Xob,0,-6.93,1,0.0356,0.0145,0.196,0.355,0.964,107.038,248733,4
spotify:track:0SKiuiPagbVFn7DstG56dF,Colombian Salsa Top 100,Salsa Con Monte,Salsa Con Monte,2017-02-10,10,Michi Sarmiento y su Combo,spotify:artist:7zXuJfnot5Hofbf7e87yAu,0,-5.167,1,0.037,0.407,0.0595,0.13,0.928,114.203,165480,4
spotify:track:58q2HKrzhC3ozto2nDdN4z,Colombian Salsa Top 100,I Like It,Invasion of Privacy,2018-04-06,82,Cardi B,spotify:artist:4kYSro6naA4h99UJvo89HB,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4
spotify:track:0Y72mjArXqUr8IAFmEBRMu,Colombian Salsa Top 100,Colombia's Boogaloo,Jala Jala Y Boogaloo,1967,0,Ricardo Ray,spotify:artist:33nZie2hFLgUG9gUfjTRoq,3,-6.976,1,0.0331,0.75,1.66e-05,0.293,0.835,137.884,246453,4
spotify:track:6hwfMLaSYKAty5gjOzcZub,Colombian Salsa Top 100,Sabroso Bacalao,¡Sabroso Bacalao!,2016-12-30,11,Adolfo Echeverría Y Su Conjunto,spotify:artist:06q1Ndho2wNzpoovLP6SPW,2,-6.519,0,0.0456,0.525,0.249,0.273,0.788,107.783,259747,4
spotify:track:4IulVEY0DjNWoJXY1n5CAC,Colombian Salsa Top 100,Cali Es Sabrosura,Cali Es Sabrosura,2018-08-24,27,Yuri Buenaventura,spotify:artist:7FIeKWN0FTtzvQ1i7Z1aTx,7,-3.869,1,0.0508,0.352,1.86e-05,0.0433,0.923,92.532,194270,4
spotify:track:0h4R0qg6p7i0Mtq4ZzieFd,Colombian Salsa Top 100,Don Juan,Latin Party (2),2013-01-01,17,Fanny Lu,spotify:artist:6GRC8segVAr34gm6pjfSoQ,9,-4.633,0,0.0619,0.152,0,0.098,0.772,157.956,216787,4
spotify:track:3fwM0nbGcjrGycSXMNVVjb,Colombian Salsa Top 100,Verdades,Hansel Camacho,1992-08-12,36,Hansel Camacho,spotify:artist:2mciQ7QeqQIRvSGKiOgFiN,10,-7.054,1,0.0359,0.303,0.0276,0.298,0.963,163.066,256679,4
